time,cases,total_deaths
0,2,0
1,0,0
2,2,1
3,2,1
4,0,1
5,0,1
6,0,1
7,1,1
8,3,1
9,2,1
10,4,2
11,2,2
12,1,3
13,3,3
14,8,4
15,4,4
16,15,6
17,8,7
18,12,8
19,9,8
20,7,10
21,29,11
22,20,12
23,14,13
24,28,15
25,17,15
26,27,18
27,27,21
28,40,22
29,20,23
30,30,26
31,51,28
32,39,30
33,37,32
34,24,34
35,37,36
36,38,38
37,31,41
38,40,43
39,29,45
40,34,47
41,22,50
42,28,51
43,20,53
44,35,55
45,52,57
46,31,59
47,75,63
48,33,65
49,36,67
50,36,68
51,48,71
52,32,71
53,48,73
54,46,74
55,31,76
56,52,78
57,43,79
58,46,80
59,56,80
60,35,82
61,31,82
62,43,83
63,27,83
64,35,84
65,36,86
66,48,86
67,32,87
68,10,88
69,22,88
70,23,89
71,39,90
72,28,91
73,20,93
74,18,93
75,13,93
76,17,94
77,25,94
78,37,95
79,20,95
80,23,96
81,18,96
82,13,96
83,7,97
84,18,97
85,14,97
86,13,98
87,23,98
88,5,98
89,10,98
90,9,98
91,11,98
92,20,99
93,11,99
94,13,99
95,9,99
96,6,99
97,8,100
98,22,100
99,11,101
100,17,101
